permno,start,ending,gvkey,sic,conm,ff12_num,ff12_name
13356,2012-05-01,2024-12-31,170841,2911,PHILLIPS 66,4,Enrgy
13407,2013-12-23,2024-12-31,170617,7370,META PLATFORMS INC,6,BusEq
13586,2012-10-01,2024-12-31,008463,3561,PENTAIR PLC,3,Manuf
13721,2013-01-02,2024-12-31,016101,2836,ABBVIE INC,10,Hlth
13760,2017-10-13,2024-12-31,104432,4400,NORWEGIAN CRUISE LINE HLDGS,12,Other
13788,2013-06-24,2024-12-31,013721,2834,ZOETIS INC,10,Hlth
13856,1957-03-01,2024-12-31,008479,2080,PEPSICO INC,1,NoDur
13901,1957-03-01,2024-12-31,008543,2111,ALTRIA GROUP INC,1,NoDur
13911,2017-08-29,2024-12-31,017928,8731,IQVIA HOLDINGS INC,12,Other
13928,1957-03-01,2024-12-31,008549,1311,CONOCOPHILLIPS,4,Enrgy
13936,2013-02-14,2022-09-16,008551,2300,PVH CORP,1,NoDur
13963,2013-07-01,2024-12-31,018043,2711,NEWS CORP,1,NoDur
13983,2016-10-03,2020-09-18,012151,2844,COTY INC,5,Chems
14008,1992-01-02,2024-12-31,001602,2836,AMGEN INC,10,Hlth
14277,1965-03-04,2024-12-31,009465,1389,SLB LTD,4,Enrgy
14297,2013-12-02,2024-12-31,316056,3420,ALLEGION PLC,3,Manuf
14338,2017-06-19,2024-12-31,005643,7011,HILTON WORLDWIDE HOLDINGS,12,Other
14541,1925-12-31,2024-12-31,002991,2911,CHEVRON CORP,4,Enrgy
14593,1982-11-18,2024-12-31,001690,3663,APPLE INC,6,BusEq
14702,1995-03-16,2024-12-31,001704,3559,APPLIED MATERIALS INC,3,Manuf
14704,2017-06-02,2022-03-01,162906,7370,IHS MARKIT LTD,6,BusEq
15069,1925-12-31,2024-11-25,007017,1311,MARATHON OIL CORP,4,Enrgy
15202,1999-07-01,2024-12-31,011228,1400,VULCAN MATERIALS CO,12,Other
15408,2015-07-06,2024-12-31,005568,2030,KRAFT HEINZ CO,1,NoDur
15456,2016-04-04,2019-08-08,011584,5661,FOOT LOCKER INC,9,Shops
15488,2015-07-20,2024-12-31,024616,7389,PAYPAL HOLDINGS INC,12,Other
15579,1959-03-25,2024-12-31,010499,3674,TEXAS INSTRUMENTS INC,6,BusEq
15707,2015-11-02,2024-12-31,026156,3571,HEWLETT PACKARD ENTERPRISE,6,BusEq
15797,2015-11-30,2018-04-03,026304,7370,CSRA INC,6,BusEq
16087,2016-07-05,2024-12-31,026590,3829,FORTIVE CORP,6,BusEq
16432,1925-12-31,2019-02-26,005234,3011,GOODYEAR TIRE & RUBBER CO,3,Manuf
16538,2017-01-17,2021-02-11,030923,1389,TECHNIPFMC PLC,4,Enrgy
16600,1957-03-01,2024-12-31,005597,2060,HERSHEY CO,1,NoDur
16678,1957-03-01,2024-12-31,006502,5411,KROGER CO,9,Shops
16851,2017-09-01,2024-12-31,004060,2820,DUPONT DE NEMOURS INC,5,Chems
17005,1957-03-01,2024-12-31,007241,8000,CVS HEALTH CORP,10,Hlth
17144,1969-02-13,2024-12-31,005071,2040,GENERAL MILLS INC,1,NoDur
17478,1957-03-01,2024-12-31,007163,7323,S&P GLOBAL INC,12,Other
17750,1957-03-01,2024-12-31,006435,2621,KIMBERLY-CLARK CORP,3,Manuf
17830,1957-03-01,2024-12-31,010983,3724,RTX CORP,3,Manuf
18163,1957-03-01,2024-12-31,008762,2840,PROCTER & GAMBLE CO,5,Chems
18542,1957-03-01,2024-12-31,002817,3531,CATERPILLAR INC,3,Manuf
18729,1957-03-01,2024-12-31,003170,2844,COLGATE-PALMOLIVE CO,5,Chems
19166,2009-08-19,2024-12-31,004510,2870,FMC CORP,5,Chems
19350,1957-03-01,2024-12-31,003835,3523,DEERE & CO,3,Manuf
19393,1957-03-01,2024-12-31,002403,2834,BRISTOL-MYERS SQUIBB CO,10,Hlth
19502,1979-10-11,2024-12-31,011264,5912,WALGREENS BOOTS ALLIANCE INC,9,Shops
19561,1957-03-01,2024-12-31,002285,3721,BOEING CO,3,Manuf
20482,1957-03-01,2024-12-31,001078,3845,ABBOTT LABORATORIES,10,Hlth
21020,2015-03-23,2024-09-20,001045,4512,AMERICAN AIRLINES GROUP INC,12,Other
21178,1984-07-19,2024-12-31,006774,3760,LOCKHEED MARTIN CORP,3,Manuf
21186,1957-03-01,2024-07-05,029830,2650,WESTROCK CO,3,Manuf
21207,1969-05-15,2024-12-31,007881,1040,NEWMONT CORP,12,Other
21371,1997-05-27,2024-12-31,002751,5122,CARDINAL HEALTH INC,9,Shops
21573,1925-12-31,2024-12-31,006104,2631,INTL PAPER CO,3,Manuf
21936,1957-03-01,2024-12-31,008530,2834,PFIZER INC,10,Hlth
22103,1965-01-07,2024-12-31,004321,3823,EMERSON ELECTRIC CO,6,BusEq
22111,1973-05-31,2024-12-31,006266,2834,JOHNSON & JOHNSON,10,Hlth
22293,1957-03-01,2024-12-31,003532,3357,CORNING INC,3,Manuf
22509,1957-03-01,2024-12-31,008247,2851,PPG INDUSTRIES INC,5,Chems
22592,1957-03-01,2024-12-31,007435,9997,3M CO,12,Other
22752,1957-03-01,2024-12-31,007257,2834,MERCK & CO INC,10,Hlth
22779,1957-03-01,2024-12-31,007585,3663,MOTOROLA SOLUTIONS INC,6,BusEq
23393,2015-12-29,2024-12-31,003026,2840,CHURCH & DWIGHT INC,5,Chems
23579,1978-10-05,2024-12-31,010519,3721,TEXTRON INC,3,Manuf
23660,2001-03-01,2024-12-31,003062,7200,CINTAS CORP,9,Shops
23819,1957-03-01,2024-12-31,005439,1389,HALLIBURTON CO,4,Enrgy
24328,2008-12-19,2018-11-12,004430,1311,EQT CORP,4,Enrgy
24643,1957-03-01,2024-12-31,028192,3728,HOWMET AEROSPACE INC,3,Manuf
24766,1985-06-13,2024-12-31,007985,3812,NORTHROP GRUMMAN CORP,6,BusEq
24942,1957-03-01,2020-04-03,008972,3812,RAYTHEON CO,6,BusEq
25320,1957-03-01,2024-12-31,002663,2030,CAMPBELL'S CO (THE),1,NoDur
25419,1959-04-01,2024-03-15,011465,3630,WHIRLPOOL CORP,2,Durbl
25582,2008-09-22,2024-12-31,005492,3812,L3HARRIS TECHNOLOGIES INC,6,BusEq
25778,1987-07-09,2018-11-05,003310,7372,CA INC,6,BusEq
25785,1957-03-01,2024-12-31,004839,3711,FORD MOTOR CO,2,Durbl
25953,1985-10-24,2024-12-31,004058,3559,DOVER CORP,3,Manuf
26403,1976-07-01,2024-12-31,003980,4888,DISNEY (WALT) CO,7,Telcm
26825,1961-04-26,2024-12-31,006375,2040,KELLANOVA,1,NoDur
27043,2007-02-12,2021-04-19,011115,3845,VARIAN MEDICAL SYSTEMS INC,10,Hlth
27828,1974-10-17,2024-12-31,005606,3570,HP INC,6,BusEq
27887,1972-09-14,2024-12-31,002086,3841,BAXTER INTERNATIONAL INC,10,Hlth
27983,1963-09-05,2021-03-19,011636,3577,XEROX HOLDINGS CORP,6,BusEq
28222,1985-04-11,2024-12-31,001209,2810,AIR PRODUCTS & CHEMICALS INC,5,Chems
28484,1984-05-17,2024-12-31,001380,1311,HESS CORP,4,Enrgy
28804,2016-05-13,2023-12-15,001230,4512,ALASKA AIR GROUP INC,12,Other
29946,1982-10-14,2024-12-31,002435,2085,BROWN FORMAN CORP,1,NoDur
30681,1997-12-24,2024-12-31,004066,7311,OMNICOM GROUP INC,12,Other
30940,2008-10-02,2021-03-19,004108,3561,FLOWSERVE CORP,3,Manuf
32707,2010-03-01,2020-05-21,005581,1381,HELMERICH & PAYNE,4,Enrgy
32870,2009-03-04,2024-12-31,005709,2011,HORMEL FOODS CORP,1,NoDur
34032,1981-06-18,2024-12-31,007085,3430,MASCO CORP,3,Manuf
34817,1985-04-18,2024-12-31,008030,3312,NUCOR CORP,3,Manuf
34833,1982-12-09,2024-12-31,008068,1311,OCCIDENTAL PETROLEUM CORP,4,Enrgy
36468,1964-05-14,2024-12-31,009667,2851,SHERWIN-WILLIAMS CO,5,Chems
37284,2007-09-27,2018-09-28,010466,2911,ANDEAVOR,4,Enrgy
39490,1997-07-28,2024-12-31,001678,1311,APA CORP,4,Enrgy
39538,1982-03-11,2019-06-06,007116,3942,MATTEL INC,1,NoDur
39642,1972-09-14,2024-12-31,002111,3841,BECTON DICKINSON & CO,10,Hlth
39917,1963-12-05,2024-12-31,011456,2400,WEYERHAEUSER CO,12,Other
40125,2017-04-04,2023-10-02,003336,7370,DXC TECHNOLOGY CO,6,BusEq
40272,1976-03-04,2024-12-31,006078,2860,INTL FLAVORS & FRAGRANCES,5,Chems
40539,1985-09-26,2024-12-31,011672,5651,TJX COS INC (THE),9,Shops
41080,1965-01-07,2024-12-31,003650,3510,CUMMINS INC,3,Manuf
41355,1985-11-07,2024-12-31,008358,3490,PARKER-HANNIFIN CORP,3,Manuf
42200,1985-05-09,2024-12-31,004145,3826,REVVITY INC,6,BusEq
42585,2008-11-06,2024-12-31,009777,2033,SMUCKER (JM) CO,1,NoDur
42877,2015-07-01,2024-12-31,005783,4213,HUNT (JB) TRANSPRT SVCS INC,12,Other
43350,1982-09-16,2024-12-31,010016,3540,STANLEY BLACK & DECKER INC,3,Manuf
43449,1970-06-25,2024-12-31,007154,5812,MCDONALD'S CORP,9,Shops
43553,1979-05-03,2024-04-02,011060,2300,VF CORP,1,NoDur
44601,1987-12-24,2024-12-31,001913,2670,AVERY DENNISON CORP,3,Manuf
44644,1981-02-26,2024-12-31,001891,7374,AUTOMATIC DATA PROCESSING,6,BusEq
45356,2010-08-27,2024-12-31,006268,3585,JOHNSON CONTROLS INTL PLC,3,Manuf
45911,2015-03-12,2024-12-31,001327,3674,SKYWORKS SOLUTIONS INC,6,BusEq
46578,1969-01-16,2024-12-31,003121,2842,CLOROX CO/DE,5,Chems
46674,1973-11-15,2024-12-31,005125,5013,GENUINE PARTS CO,9,Shops
46886,1997-09-15,2024-12-31,006304,3827,KLA CORP,6,BusEq
48486,2012-06-05,2024-12-31,006565,3559,LAM RESEARCH CORP,3,Manuf
48506,1979-12-27,2024-12-31,139665,7323,MOODY'S CORP,12,Other
48725,1969-07-16,2024-12-31,010867,4011,UNION PACIFIC CORP,12,Other
49154,1976-12-09,2024-12-31,003813,5331,TARGET CORP,9,Shops
49373,1986-11-28,2020-09-18,002269,7200,BLOCK H & R INC,9,Shops
49680,1998-11-18,2024-12-31,003735,3826,DANAHER CORP,6,BusEq
50017,2007-12-21,2018-06-15,006788,1311,RANGE RESOURCES CORP,4,Enrgy
50876,1970-11-19,2024-12-31,006730,2834,LILLY (ELI) & CO,10,Hlth
52038,1986-12-18,2024-12-31,010247,5140,SYSCO CORP,9,Shops
52090,2003-03-21,2024-12-31,007146,2090,MCCORMICK & CO INC,1,NoDur
52230,2000-12-05,2024-06-21,002312,7363,ROBERT HALF INC,12,Other
52329,2007-10-26,2024-12-31,006216,8700,JACOBS SOLUTIONS INC,12,Other
52476,1997-06-19,2024-12-31,004423,7323,EQUIFAX INC,12,Other
52695,1981-05-14,2024-12-31,005256,5000,GRAINGER (W W) INC,9,Shops
52708,2005-10-04,2024-12-31,006669,1531,LENNAR CORP,12,Other
52978,1984-09-13,2024-12-31,005518,3944,HASBRO INC,1,NoDur
53065,1992-10-30,2024-12-31,006136,7311,INTERPUBLIC GROUP OF COS,12,Other
53613,1994-09-27,2024-12-31,007343,3674,MICRON TECHNOLOGY INC,6,BusEq
54148,1984-04-12,2024-12-31,008823,1531,PULTEGROUP INC,12,Other
55976,1982-08-19,2024-12-31,011259,5331,WALMART INC,9,Shops
56274,1983-09-01,2024-12-31,003362,2000,CONAGRA BRANDS INC,1,NoDur
56573,1986-02-13,2024-12-31,005878,3560,ILLINOIS TOOL WORKS,3,Manuf
57568,1984-10-04,2024-12-31,001988,3411,BALL CORP,3,Manuf
57665,1988-11-03,2024-12-31,007906,3021,NIKE INC  -CL B,3,Manuf
57817,1986-08-07,2020-06-19,007922,5651,NORDSTROM INC,9,Shops
58683,1994-07-13,2024-12-31,009882,4512,SOUTHWEST AIRLINES,12,Other
59010,1986-08-21,2022-02-02,004990,5651,GAP INC,9,Shops
59248,1976-07-01,2024-12-31,003505,2082,MOLSON COORS BEVERAGE CO,1,NoDur
59328,1976-12-09,2024-12-31,006008,3674,INTEL CORP,6,BusEq
60097,1986-10-23,2024-12-31,007228,3845,MEDTRONIC PLC,10,Hlth
60206,1982-09-16,2024-12-31,009778,3420,SNAP-ON INC,3,Manuf
60506,1980-10-02,2024-12-31,008253,3711,PACCAR INC,2,Durbl
60599,1999-03-25,2023-03-17,002884,4813,LUMEN TECHNOLOGIES INC,7,Telcm
60628,1980-11-06,2024-12-31,004598,4513,FEDEX CORP,12,Other
60871,1999-10-12,2024-12-31,001632,3674,ANALOG DEVICES INC,6,BusEq
60943,1999-10-18,2021-12-17,006649,2510,LEGGETT & PLATT INC,2,Durbl
60986,1989-04-27,2023-09-15,007875,3630,NEWELL BRANDS INC,2,Durbl
61241,2017-03-20,2024-12-31,001161,3674,ADVANCED MICRO DEVICES,6,BusEq
61399,1984-03-01,2024-12-31,006829,5211,LOWE'S COS INC,9,Shops
61621,1998-10-01,2024-12-31,008402,8721,PAYCHEX INC,12,Other
61815,2007-10-08,2020-10-09,007912,1311,NOBLE ENERGY INC,4,Enrgy
62092,1997-01-02,2024-12-31,010530,3826,THERMO FISHER SCIENTIFIC INC,6,BusEq
62148,1980-11-06,2024-12-31,002574,4011,CSX CORP,12,Other
64282,1983-09-15,2024-09-30,006733,5990,BATH & BODY WORKS INC,9,Shops
64311,1982-06-03,2024-12-31,007923,4011,NORFOLK SOUTHERN CORP,12,Other
65402,2017-07-26,2024-12-31,009771,3630,SMITH (A.O.),2,Durbl
65541,2016-09-23,2024-12-31,003504,3851,COOPER COS INC (THE),10,Hlth
65875,1983-12-01,2024-12-31,002136,4812,VERIZON COMMUNICATIONS INC,7,Telcm
66093,1983-12-01,2024-12-31,009899,4812,AT&T INC,7,Telcm
66181,1988-03-03,2024-12-31,005680,5211,HOME DEPOT INC,9,Shops
66384,2009-07-01,2024-12-31,011399,3572,WESTERN DIGITAL CORP,6,BusEq
69550,2004-04-23,2020-11-16,007637,2834,VIATRIS INC,10,Hlth
69796,2005-07-05,2024-12-31,002710,2082,CONSTELLATION BRANDS,1,NoDur
70033,2000-01-31,2020-06-19,012389,3751,HARLEY-DAVIDSON INC,2,Durbl
70332,1997-07-28,2019-08-08,011923,1311,ANADARKO PETROLEUM CORP,4,Enrgy
70578,1989-01-12,2024-12-31,004213,2842,ECOLAB INC,5,Chems
73139,2000-12-12,2024-12-31,010115,3841,STRYKER CORP,10,Hlth
75034,1987-04-09,2024-12-31,032106,1389,BAKER HUGHES CO,4,Enrgy
75100,2000-06-21,2021-01-06,013646,5944,TIFFANY & CO,9,Shops
75154,1998-12-22,2024-12-31,013498,4400,CARNIVAL CORP LTD,12,Other
75241,2008-09-24,2024-05-07,014359,1311,PIONEER NATURAL RESOURCES CO,4,Enrgy
75510,1997-05-06,2024-12-31,012540,7370,ADOBE INC,6,BusEq
75607,2003-03-31,2024-12-31,015855,7372,GEN DIGITAL INC,6,BusEq
75825,2000-11-02,2024-12-31,016478,1311,EOG RESOURCES INC,4,Enrgy
75828,2002-07-22,2024-12-31,016721,7372,ELECTRONIC ARTS INC,6,BusEq
76076,1993-12-31,2024-12-31,020779,3576,CISCO SYSTEMS INC,6,BusEq
76082,2008-06-23,2024-12-31,020548,1311,COTERRA ENERGY INC,4,Enrgy
76095,2016-03-30,2024-12-31,020904,3844,HOLOGIC INC,10,Hlth
76201,1999-11-08,2022-02-14,022325,3674,XILINX INC,6,BusEq
76226,1994-09-30,2024-12-31,013714,4833,PARAMOUNT SKYDANCE CORP,7,Telcm
76605,1997-01-02,2024-12-31,023809,5531,AUTOZONE INC,9,Shops
76614,2013-05-01,2024-12-31,023812,2834,REGENERON PHARMACEUTICALS,10,Hlth
76639,2008-01-02,2019-09-20,010631,7389,TOTAL SYSTEM SERVICES INC,12,Other
76709,2017-01-05,2024-12-31,024197,2835,IDEXX LABS INC,10,Hlth
76712,1998-10-02,2024-12-31,024216,4991,AES CORP (THE),12,Other
76744,2013-09-23,2024-12-31,024344,2836,VERTEX PHARMACEUTICALS INC,10,Hlth
76841,2003-11-13,2024-12-31,024468,2836,BIOGEN INC,10,Hlth
77178,1999-07-22,2024-12-31,024800,3674,QUALCOMM INC,6,BusEq
77182,2011-12-19,2021-09-17,024782,2834,PERRIGO CO PLC,10,Hlth
77274,2004-07-01,2024-12-31,024856,2836,GILEAD SCIENCES INC,10,Hlth
77338,2009-12-23,2024-12-31,024925,7370,ROPER TECHNOLOGIES INC,6,BusEq
77357,2017-03-16,2024-12-31,024975,7372,SYNOPSYS INC,6,BusEq
77418,1999-01-04,2018-06-19,025056,4888,TIME WARNER INC,7,Telcm
77462,1995-12-01,2020-04-03,004611,5311,MACY'S INC,9,Shops
77496,2013-12-23,2024-12-31,025119,2273,MOHAWK INDUSTRIES INC,1,NoDur
77605,1995-02-24,2024-12-31,025279,3845,BOSTON SCIENTIFIC CORP,10,Hlth
77606,1998-08-14,2020-09-18,025283,5311,KOHL'S CORP,9,Shops
77661,2005-07-05,2024-12-31,025340,1531,D R HORTON INC,12,Other
77668,2003-09-26,2018-12-21,025356,5912,EXPRESS SCRIPTS HOLDING CO,9,Shops
77702,2000-06-08,2024-12-31,025434,5812,STARBUCKS CORP,9,Shops
77730,2005-08-11,2024-12-31,010793,2011,TYSON FOODS INC  -CL A,1,NoDur
77768,1992-07-06,2018-10-30,025124,2810,LINDE PLC,5,Chems
78034,2005-10-11,2018-03-16,025880,5047,PATTERSON COS INC,9,Shops
78877,2006-03-03,2018-03-16,027786,1311,EXPAND ENERGY CORP,4,Enrgy
78916,1999-04-12,2020-05-11,027845,2834,ALLERGAN PLC,10,Hlth
78975,2000-12-11,2024-12-31,027928,7372,INTUIT INC,6,BusEq
78987,2007-09-07,2024-12-31,027965,3674,MICROCHIP TECHNOLOGY INC,6,BusEq
79103,2009-03-27,2024-12-31,028180,5531,O'REILLY AUTOMOTIVE INC,9,Shops
79145,2014-12-05,2024-12-31,028191,4400,ROYAL CARIBBEAN GROUP,12,Other
79265,2009-01-02,2021-05-13,028477,3812,FLIR SYSTEMS INC,6,BusEq
79545,2011-12-19,2024-12-31,028742,3714,BORGWARNER INC,2,Durbl
79637,2014-09-22,2024-12-31,011032,8062,UNIVERSAL HEALTH SVCS INC,10,Hlth
79678,2015-08-31,2023-10-17,180405,7372,ACTIVISION BLIZZARD INC,6,BusEq
79698,2017-04-05,2024-12-31,012441,8700,GARTNER INC,12,Other
79906,2017-02-28,2024-12-31,029127,2836,INCYTE CORP,10,Hlth
79915,2010-12-20,2019-02-14,029173,1311,OVINTIV EXPLORATION INC,4,Enrgy
80080,1994-01-04,2024-12-31,029392,2800,EASTMAN CHEMICAL CO,5,Chems
80191,2016-07-01,2024-12-31,029751,2810,ALBEMARLE CORP,5,Chems
80204,2014-07-02,2024-12-31,029733,1400,MARTIN MARIETTA MATERIALS,12,Other
80286,2014-01-24,2024-12-31,029736,5200,TRACTOR SUPPLY CO,9,Shops
81061,1999-01-13,2024-12-31,007171,5122,MCKESSON CORP,9,Shops
81481,2011-12-19,2024-12-31,031587,5331,DOLLAR TREE INC,9,Shops
81540,2001-08-30,2024-12-31,031673,5122,CENCORA INC,9,Shops
81655,1995-05-30,2024-12-31,031846,5812,DARDEN RESTAURANTS INC,9,Shops
81696,2017-03-13,2023-06-16,060900,4841,DISH NETWORK CORP,7,Telcm
81736,2017-07-26,2024-12-31,031887,3845,RESMED INC,10,Hlth
81774,1995-07-31,2024-12-31,014590,1000,FREEPORT-MCMORAN INC,12,Other
82307,2008-07-31,2024-12-31,061483,8090,DAVITA INC,10,Hlth
82581,2015-03-18,2024-12-31,061494,5047,HENRY SCHEIN INC,9,Shops
82598,1999-06-25,2024-12-31,061591,3572,NETAPP INC,6,BusEq
82642,2006-01-05,2024-12-31,061567,2844,ESTEE LAUDER COMPANIES INC,5,Chems
82651,2002-01-02,2024-12-31,061574,3826,WATERS CORP,6,BusEq
82686,1999-12-01,2022-09-30,061676,7372,CITRIX SYSTEMS INC,6,BusEq
83111,2012-05-25,2021-07-20,062263,2836,ALEXION PHARMACEUTICALS INC,10,Hlth
83443,2010-02-16,2024-12-31,002176,9997,BERKSHIRE HATHAWAY,12,Other
83621,2017-06-19,2024-12-31,063080,7372,ANSYS INC,6,BusEq
83906,2008-11-19,2018-11-30,063527,4955,STERICYCLE INC,12,Other
84032,2005-03-14,2021-09-17,063892,3533,NOV INC,3,Manuf
84373,2002-12-12,2024-12-31,064166,8071,QUEST DIAGNOSTICS INC,10,Hlth
84381,1996-12-09,2024-12-31,009203,3620,ROCKWELL AUTOMATION,3,Manuf
84769,2008-09-30,2024-12-31,014282,3678,AMPHENOL CORP,6,BusEq
84788,2005-11-21,2024-12-31,064768,5961,AMAZON.COM INC,9,Shops
85035,2015-06-12,2024-12-20,064853,3674,QORVO INC,6,BusEq
85072,2007-02-02,2024-12-31,064891,2300,RALPH LAUREN CORP,1,NoDur
85257,2013-09-23,2024-12-31,001598,3823,AMETEK INC,6,BusEq
85269,2004-04-29,2024-12-31,015247,2911,VALERO ENERGY CORP,4,Enrgy
85348,1997-10-07,2024-12-31,065417,5812,YUM BRANDS INC,9,Shops
85459,2007-03-02,2024-12-31,065609,4213,C H ROBINSON WORLDWIDE INC,12,Other
85621,2016-09-06,2024-12-31,065772,3826,METTLER-TOLEDO INTL INC,6,BusEq
85631,1989-12-21,2024-12-31,001878,7370,AUTODESK INC,6,BusEq
85663,2014-09-22,2024-12-31,066065,7350,UNITED RENTALS INC,12,Other
85675,2016-12-02,2018-10-10,065967,8011,ENVISION HEALTHCARE CORP,10,Hlth
85753,2006-02-01,2024-12-31,066368,7370,VERISIGN INC,6,BusEq
85792,2009-07-01,2024-12-31,066446,1731,QUANTA SERVICES INC,12,Other
85913,1998-05-21,2024-12-31,028930,7011,MARRIOTT INTL INC,12,Other
85914,1999-06-30,2024-12-31,002184,5731,BEST BUY CO INC,9,Shops
85926,1998-04-01,2023-12-15,009555,3081,SEALED AIR CORP,3,Manuf
86021,2004-12-01,2019-06-28,110685,3812,L3 TECHNOLOGIES INC,6,BusEq
86158,2006-11-17,2024-12-31,111864,7370,COGNIZANT TECH SOLUTIONS,6,BusEq
86228,2008-12-05,2024-12-31,112168,4953,REPUBLIC SERVICES INC,12,Other
86356,2002-07-22,2024-12-31,114524,5961,EBAY INC,9,Shops
86580,2001-11-30,2024-12-31,117768,3674,NVIDIA CORP,6,BusEq
86783,2009-11-06,2024-12-31,119314,4700,BOOKING HOLDINGS INC,12,Other
86964,2010-12-20,2024-12-31,121077,7373,F5 INC,6,BusEq
86979,2006-06-02,2024-12-31,121718,3576,JUNIPER NETWORKS INC,6,BusEq
87055,1993-10-22,2024-12-31,029028,5399,COSTCO WHOLESALE CORP,9,Shops
87137,2000-08-30,2024-12-31,014934,1311,DEVON ENERGY CORP,4,Enrgy
87184,2009-07-27,2019-07-12,122841,7372,RED HAT INC,6,BusEq
87299,2007-07-12,2024-12-31,125595,7370,AKAMAI TECHNOLOGIES INC,6,BusEq
87432,2000-06-05,2024-12-31,126554,3826,AGILENT TECHNOLOGIES INC,6,BusEq
87447,2002-07-22,2024-12-31,010920,4210,UNITED PARCEL SERVICE INC,12,Other
87541,2017-07-26,2024-12-31,128978,2650,PACKAGING CORP OF AMERICA,3,Manuf
87657,2011-04-01,2024-12-31,133366,3842,EDWARDS LIFESCIENCES CORP,10,Hlth
87717,2007-10-10,2024-12-31,004494,4731,EXPEDITORS INTL WASH INC,12,Other
88031,2012-06-29,2024-12-31,024316,2086,MONSTER BEVERAGE CORP,1,NoDur
88352,2008-06-02,2024-12-31,136725,3845,INTUITIVE SURGICAL INC,10,Hlth
88446,2015-11-19,2024-06-21,138205,3826,ILLUMINA INC,6,BusEq
88661,2004-09-01,2024-12-31,140541,3100,TAPESTRY INC,1,NoDur
88668,2002-08-14,2018-06-06,140760,100,MONSANTO CO,1,NoDur
88837,2012-12-12,2024-12-31,141459,3812,GARMIN LTD,6,BusEq
88853,2000-12-22,2019-06-03,004818,1600,FLUOR CORP,12,Other
88860,2017-06-19,2024-12-31,141384,3843,ALIGN TECHNOLOGY INC,10,Hlth
88873,2016-04-25,2024-12-31,141913,7374,GLOBAL PAYMENTS INC,6,BusEq
89003,2006-11-10,2024-12-31,165993,7374,FIDELITY NATIONAL INFO SVCS,6,BusEq
89006,2007-04-02,2024-12-31,142953,2052,MONDELEZ INTERNATIONAL INC,1,NoDur
89014,2001-07-02,2018-11-30,144066,3728,ROCKWELL COLLINS,3,Manuf
89070,2001-08-07,2024-12-31,144559,3842,ZIMMER BIOMET HOLDINGS INC,10,Hlth
89071,2011-07-06,2024-12-31,143357,8742,ACCENTURE PLC,12,Other
